name,code,theme,price,revenue_growth,profit_growth,eps_growth_1y,eps_growth_2y,per_actual,per_1y,per_2y,per_3y,buy_story
3104 富士紡HD,3104,AI,3820,0.0673,0.1890,0.1163,1.1587,9.41,8.43,7.28,6.28,
421A ムービン,421A,人材,3310,0.6847,0.7086,0.6408,1.3991,23.31,14.21,10.15,7.26,カップウィズハンドルを3000円くらいで揉み合い形成しての上抜け
446A ノースサンド,446A,コンサル,1208,0.4703,0.5818,0.4046,1.2717,18.44,13.13,10.32,8.12,中長期期待
485A パワーエックス,485A,電力,2562,0.3985,1249.0,2.3,3.0606,256.20,77.64,25.37,8.29,中長期、国策銘柄、株価が底を確認したら打診買い
285A キオクシアHD,285A,半導体,81200,0.3037,0.7763,0.6135,2.9523,156.15,96.78,32.78,11.10,中長期期待、メモリ
6227 AIメカテック,6227,AI,7850,0.6329,8.1988,7.9818,1.1134,142.73,15.89,14.27,12.82,7000円押し目からのブレイク
1893 五洋建,1893,建設,1668,0.0298,0.0089,0.0040,1.0159,13.29,13.24,13.03,12.83,
8381 山陰合銀,8381,銀行,2159,0.1847,0.1208,0.0887,1.1188,17.57,16.14,14.42,12.89,
6532 ベイカレント,6532,コンサル,5545,0.2069,0.2132,0.2374,1.2941,27.42,22.16,17.13,13.23,
5532 リアルゲイト,5532,不動産,3170,0.0724,0.3059,0.2959,1.3465,32.35,24.96,18.54,13.77,
7003 三井E&S,7003,造船,4157,0.0790,-0.2962,-0.2208,1.0,10.80,13.86,13.86,13.86,
8136 サンリオ,8136,IP,864.2,0.3154,0.2461,0.2153,1.1888,24.48,20.14,16.95,14.25,
277A グロービング,277A,コンサル,2120,0.4294,0.5888,0.5349,1.2222,32.87,21.41,17.52,14.34,
8316 三井住友,8316,銀行,6406,0.0025,0.2733,0.2990,1.0691,21.28,16.38,15.33,14.34,金利上昇
8306 三菱UFJ,8306,銀行,3162,0.0968,0.1272,0.1500,1.0489,19.76,17.18,16.38,15.62,金利上昇
1812 鹿島,1812,建設,5521,0.0303,0.2637,0.2068,1.0312,20.76,17.20,16.68,16.18,
8361 大垣銀,8361,地方銀行,7370,0.0277,0.1618,0.1615,1.0537,20.88,17.98,17.06,16.19,
5074 テスHD,5074,蓄電池,831,0.3630,10.7647,10.7241,1.2059,286.55,24.44,20.27,16.81,国策銘柄、トレンドフォロー
5016 JX金属,5016,資源,3557,0.1469,0.3622,0.7857,1.02,31.76,17.79,17.44,17.09,
6503 三菱電,6503,電機,5545,0.0739,0.1108,0.1240,1.3371,35.61,31.69,23.70,17.72,
7184 富山第一銀行,7184,地方銀行,2497,-0.0106,0.0484,0.0622,0.7793,11.95,11.25,14.43,18.52,
7013 IHI,7013,防衛,2430,0.0327,0.1398,0.1415,1.0083,22.92,20.08,19.92,19.75,
7012 川崎重,7012,防衛・フィジカルAI,2834,0.0989,-0.0682,0.0210,0.9776,26.99,26.44,27.04,27.66,
7011 三菱重,7011,防衛,3540,-0.0452,-0.0629,-0.0685,1.2206,48.49,52.06,42.65,34.94,
5713 住友鉱,5713,資源,8638,-0.0247,3.4884,7.0167,0.7131,143.97,17.96,25.18,35.32,
6954 ファナック,6954,フィジカルAI,6950,0.0362,0.0687,0.0191,1.0625,44.27,43.44,40.88,38.48,中長期期待、AIロボティックス
5803 フジクラ,5803,電線,4256,0.1538,0.4925,0.5364,1.1065,77.38,50.37,45.52,41.14,
5706 三井金属,5706,資源,43900,0.0037,-0.3350,-0.3360,1.0466,38.82,58.46,55.85,53.37,
6857 アドバンテス,6857,半導体,27325,0.2184,0.7062,1.0521,1.0495,124.94,60.88,58.01,55.28,
4062 イビデン,4062,半導体,19105,0.1098,0.0978,0.1000,1.2727,159.21,144.73,113.72,89.35,
3110 日東紡,3110,資源,18380,0.1006,1.9212,1.9261,0.4369,52.22,17.84,40.84,93.49,
5801 古河電工,5801,電線,42090,0.1166,0.1308,0.1262,1.2759,408.64,362.84,284.39,222.90,
