name,code,current_price,pts_price,revenue_current,revenue_next,profit_current,profit_next,eps_current,eps_next,eps_next2,per_current,per_next,per_next2,rsi,updated_at,memo
3104 富士紡HD,3104,3820.0,,,,,,405.9511158342189,453.14353499406883,524.7252747252747,9.41,8.43,7.28,,,AI
421A ムービン,421A,3310.0,,,,,,141.999141999142,232.93455313159745,326.10837438423647,23.31,14.21,10.15,,,カップウィズハンドルを3000円くらいで揉み合い形成しての上抜け
446A ノースサンド,446A,1208.0,,,,,,65.50976138828634,92.003046458492,117.05426356589147,18.44,13.13,10.32,,,中長期期待
485A パワーエックス,485A,2562.0,,,,,,10.0,32.9984544049459,100.9854158454868,256.2,77.64,25.37,,,中長期、国策銘柄、株価が底を確認したら打診買い
285A キオクシアHD,285A,81200.0,,,,,,520.0128081972463,839.0163256871255,2477.1201952410006,156.15,96.78,32.78,,,中長期期待、メモリ
6227 AIメカテック,6227,7850.0,,,,,,54.998949064667556,494.02139710509755,550.1051156271899,142.73,15.89,14.27,,,7000円押し目からのブレイク
1893 五洋建,1893,1668.0,,,,,,125.50790067720091,125.98187311178248,128.01227935533385,13.29,13.24,13.03,,,建設
8381 山陰合銀,8381,2159.0,,,,,,122.87990893568583,133.76703841387857,149.72260748959778,17.57,16.14,14.42,,,銀行
6532 ベイカレント,6532,5545.0,,,,,,202.2246535375638,250.22563176895306,323.70110916520724,27.42,22.16,17.13,,,コンサル
5532 リアルゲイト,5532,3170.0,,,,,,97.99072642967542,127.00320512820512,170.98166127292342,32.35,24.96,18.54,,,不動産
7003 三井E&S,7003,4157.0,,,,,,384.9074074074074,299.92784992784993,299.92784992784993,10.8,13.86,13.86,,,造船
8136 サンリオ,8136,864.2,,,,,,35.302287581699346,42.90963257199603,50.98525073746313,24.48,20.14,16.95,,,IP
277A グロービング,277A,2120.0,,,,,,64.49650136902952,99.01914992993927,121.00456621004567,32.87,21.41,17.52,,,コンサル
8316 三井住友,8316,6406.0,,,,,,301.0338345864661,391.08669108669113,417.8734507501631,21.28,16.38,15.33,,,金利上昇
8306 三菱UFJ,8306,3162.0,,,,,,160.02024291497975,184.0512223515716,193.04029304029305,19.76,17.18,16.38,,,金利上昇
1812 鹿島,1812,5521.0,,,,,,265.9441233140655,320.98837209302326,330.99520383693044,20.76,17.2,16.68,,,建設
8361 大垣銀,8361,7370.0,,,,,,352.96934865900386,409.89988876529475,432.00468933177024,20.88,17.98,17.06,,,地方銀行
5074 テスHD,5074,831.0,,,,,,2.9000174489617865,34.00163666121113,40.99654662062161,286.55,24.44,20.27,,,国策銘柄、トレンドフォロー
5016 JX金属,5016,3557.0,,,,,,111.99622166246851,199.94378864530637,203.9564220183486,31.76,17.79,17.44,,,資源
6503 三菱電,6503,5545.0,,,,,,155.71468688570627,174.97633322814767,233.9662447257384,35.61,31.69,23.7,,,電機
7184 富山第一銀行,7184,2497.0,,,,,,208.9539748953975,221.95555555555555,173.04227304227305,11.95,11.25,14.43,,,地方銀行
7013 IHI,7013,2430.0,,,,,,106.02094240837695,121.01593625498009,121.98795180722891,22.92,20.08,19.92,,,防衛
7012 川崎重,7012,2834.0,,,,,,105.00185253797703,107.18608169440242,104.8076923076923,26.99,26.44,27.04,,,防衛・フィジカルAI
7011 三菱重,7011,3540.0,,,,,,73.0047432460301,67.99846331156358,83.00117233294256,48.49,52.06,42.65,,,防衛
5713 住友鉱,5713,8638.0,,,,,,59.99861082169897,480.9576837416481,343.05003971405876,143.97,17.96,25.18,,,資源
6954 ファナック,6954,6950.0,,,,,,156.99119042240795,159.99079189686924,170.00978473581213,44.27,43.44,40.88,,,中長期期待、AIロボティックス
5803 フジクラ,5803,4256.0,,,,,,55.00129232359783,84.49473893190391,93.49736379613356,77.38,50.37,45.52,,,電線
5706 三井金属,5706,43900.0,,,,,,1130.86038124678,750.9408142319535,786.0340196956132,38.82,58.46,55.85,,,資源
6857 アドバンテス,6857,27325.0,,,,,,218.70497838962703,448.83377135348223,471.03947595242204,124.94,60.88,58.01,,,半導体
4062 イビデン,4062,19105.0,,,,,,119.99874379750015,132.00442202722311,168.00035174111855,159.21,144.73,113.72,,,半導体
3110 日東紡,3110,18380.0,,,,,,351.97242435848335,1030.2690582959642,450.048971596474,52.22,17.84,40.84,,,資源
5801 古河電工,5801,42090.0,,,,,,103.00019577133908,116.00154338000222,148.0009845634516,408.64,362.84,284.39,,,電線
